date,account_value
2012-11-08,1032467.8702160399
2012-11-09,1041346.5698514503
2012-11-12,1041646.7278857538
2012-11-13,1027435.4834118702
2012-11-14,1009165.258018409
2012-11-15,1009990.3124315207
2012-11-16,1014948.153134187
2012-11-19,1033576.5574261314
2012-11-20,1031247.0670539887
2012-11-21,1033980.109611789
2012-11-23,1049153.589264743
2012-11-26,1049549.6621914476
2012-11-27,1040953.6847209161
2012-11-28,1051634.0670141366
2012-11-29,1057708.7161706383
2012-11-30,1050967.8522143243
2012-12-03,1044185.0481316445
2012-12-04,1040125.4744259637
2012-12-05,1052180.2983841526
2012-12-06,1055618.420414717
2012-12-07,1062478.1314506114
2012-12-10,1067215.2685630114
2012-12-11,1073822.701332573
2012-12-12,1075405.6738992084
2012-12-13,1074808.5597483981
2012-12-14,1077056.6337330134
2012-12-17,1087149.982535988
2012-12-18,1100944.9465401995
2012-12-19,1097562.4735543025
2012-12-20,1099484.8342208292
2012-12-21,1088890.203965665
2012-12-24,1082241.2775611307
2012-12-26,1080523.2951307949
2012-12-27,1079993.5118968794
2012-12-28,1066504.8464655546
2012-12-31,1087501.0388876707
2013-01-02,1123341.561811067
2013-01-03,1125790.402138288
2013-01-04,1130488.8787702497
2013-01-07,1127888.4307225163
2013-01-08,1117174.8263848813
2013-01-09,1124369.032521886
2013-01-10,1131489.3594030049
2013-01-11,1133169.7723273346
2013-01-14,1133766.754796202
2013-01-15,1141699.0196220763
2013-01-16,1139701.4388806135
2013-01-17,1145990.0552208254
2013-01-18,1157734.7679325754
2013-01-22,1157464.5371270622
2013-01-23,1154775.438300091
2013-01-24,1156019.7466959879
2013-01-25,1153832.8458793662
2013-01-28,1161133.5727445062
2013-01-29,1170620.3052070553
2013-01-30,1169819.3439589664
2013-01-31,1164485.0044917958
2013-02-01,1177996.1528021633
2013-02-04,1166036.111845545
2013-02-05,1173334.0587406524
2013-02-06,1170688.5565561126
2013-02-07,1162939.4147708428
2013-02-08,1168494.4916856673
2013-02-11,1167722.6292249481
2013-02-12,1171081.6693289292
2013-02-13,1165366.7132685196
2013-02-14,1164478.1942433084
2013-02-15,1162312.2624056274
2013-02-19,1167450.9190998317
2013-02-20,1150606.5140050289
2013-02-21,1139283.2621305096
2013-02-22,1147710.6943250992
2013-02-25,1121766.0749356425
2013-02-26,1130230.612875416
2013-02-27,1152596.5449250252
2013-02-28,1152715.5925320121
2013-03-01,1150711.6745132706
2013-03-04,1146148.3973906967
2013-03-05,1153212.418897937
2013-03-06,1154144.9469341538
2013-03-07,1159073.0980346769
2013-03-08,1161822.1104492552
2013-03-11,1167645.329301949
2013-03-12,1158811.5257297843
2013-03-13,1158040.8676136306
2013-03-14,1161070.3059445384
2013-03-15,1162722.6492307638
2013-03-18,1159635.5626760991
2013-03-19,1154269.2130155957
2013-03-20,1152378.3409159367
2013-03-21,1145428.2101694616
2013-03-22,1154319.2910650398
2013-03-25,1147329.1814659454
2013-03-26,1154994.6418275663
2013-03-27,1152624.7760685284
2013-03-28,1152644.77322279
2013-04-01,1144959.9439411366
2013-04-02,1142331.2225738375
2013-04-03,1131122.1931052401
