date,ensemble,dji
2022-10-12,863650.8717578507,798436.5949427569
2022-10-13,884403.3889732877,821065.2615506992
2022-10-14,880402.5295032942,810025.4917505492
2022-10-17,893033.095806799,825086.0179750208
2022-10-18,894770.0002402097,834324.2283740534
2022-10-19,891652.3064344922,831591.1390141231
2022-10-20,889451.3698690931,829125.0857510457
2022-10-21,907885.4609678783,849597.1235695925
2022-10-24,923626.0089739362,860996.8208717378
2022-10-25,923735.6954763927,870211.5414901597
2022-10-26,930314.8917540112,870276.2985444344
2022-10-27,934487.5544889966,875583.6543158469
2022-10-28,956668.4228743116,898230.0984168422
2022-10-31,952713.403400282,894708.1261294447
2022-11-01,949738.59057794,892528.2744887637
2022-11-02,938313.9485014478,878712.8134083939
2022-11-03,935772.9123915236,874708.1795153097
2022-11-04,941391.6303957502,885695.4710101407
2022-11-07,955937.845889906,897278.8690738353
2022-11-08,975077.5122469465,906403.5811238257
2022-11-09,963841.4137667218,888721.8089266506
2022-11-10,974662.4794233838,921561.216236777
2022-11-11,953921.4572161236,922449.2367155949
2022-11-14,952331.306985716,916677.4773043342
2022-11-15,943844.9462069074,918214.2428149299
2022-11-16,953541.6846979656,917145.6713405991
2022-11-17,960218.6071661512,916940.4560754449
2022-11-18,969223.8995340863,922389.9784054176
2022-11-21,966936.64980493,921148.7570435975
2022-11-22,971513.1719149152,932022.6035752513
2022-11-23,971578.5417994062,934645.451123906
2022-11-25,976604.5688932936,938826.7388443562
2022-11-28,970432.8803919356,925226.3694141703
2022-11-29,965593.5385626355,925310.2919939887
2022-11-30,987198.01743112,945461.6409213332
2022-12-01,983132.33582292,940138.2160045485
2022-12-02,984217.7501905956,941091.2604669661
2022-12-05,979488.147098402,927895.2355784759
2022-12-06,976575.6434248488,918307.6680787228
2022-12-07,980792.412355284,918350.9106293927
2022-12-08,986415.9751261274,923368.2209961268
2022-12-09,973149.2683123152,915030.950455248
2022-12-12,981722.2083662548,929478.8738785632
2022-12-13,975188.3369272748,932310.6737029237
2022-12-14,974964.9846209089,928421.4066641575
2022-12-15,959001.2161215344,907534.9343754255
2022-12-16,951920.3846415082,899833.4894869885
2022-12-19,949085.5808657208,895380.2541701033
2022-12-20,948386.1444300214,897900.3873144508
2022-12-21,958210.0004480878,912298.1280246429
2022-12-22,954091.07419763,902758.928118602
2022-12-23,957058.8302515546,907581.7003931869
2022-12-27,957376.6909616988,908610.2324687493
2022-12-28,950030.6557882824,898610.3125475467
2022-12-29,955406.7797850173,908042.8474952687
2022-12-30,951962.2480238476,906032.4425901753
2023-01-03,947734.227197508,
