,account_value,date,daily_return,datadate
213,955937.845889906,2022-11-07,0.0154518215634027,2022-11-07
214,975077.5122469465,2022-11-08,0.0200218732204526,2022-11-08
215,963841.4137667218,2022-11-09,-0.0115232874710979,2022-11-09
216,974662.4794233838,2022-11-10,0.0112270187834873,2022-11-10
217,953921.4572161236,2022-11-11,-0.0212802099651262,2022-11-11
218,952331.306985716,2022-11-14,-0.001666961381756,2022-11-14
219,943844.9462069074,2022-11-15,-0.0089111433348435,2022-11-15
220,953541.6846979656,2022-11-16,0.0102736562080745,2022-11-16
221,960218.6071661512,2022-11-17,0.0070022344857427,2022-11-17
222,969223.8995340863,2022-11-18,0.0093783772785991,2022-11-18
223,966936.64980493,2022-11-21,-0.0023598775579677,2022-11-21
224,971513.1719149152,2022-11-22,0.0047330113207608,2022-11-22
225,971578.5417994062,2022-11-23,6.728666824162843e-05,2022-11-23
226,976604.5688932936,2022-11-25,0.005173052797748,2022-11-25
227,970432.8803919356,2022-11-28,-0.0063195367889297,2022-11-28
228,965593.5385626355,2022-11-29,-0.0049867867495848,2022-11-29
229,987198.01743112,2022-11-30,0.0223742993357687,2022-11-30
230,983132.33582292,2022-12-01,-0.0041184053618541,2022-12-01
231,984217.7501905956,2022-12-02,0.0011040368911956,2022-12-02
232,979488.147098402,2022-12-05,-0.0048054438067974,2022-12-05
233,976575.6434248488,2022-12-06,-0.0029734955774415,2022-12-06
234,980792.412355284,2022-12-07,0.004317913270545,2022-12-07
235,986415.9751261274,2022-12-08,0.0057336931852267,2022-12-08
236,973149.2683123152,2022-12-09,-0.0134494038502528,2022-12-09
237,981722.2083662548,2022-12-12,0.0088094810663603,2022-12-12
238,975188.3369272748,2022-12-13,-0.0066555196401775,2022-12-13
239,974964.9846209089,2022-12-14,-0.0002290350467785,2022-12-14
240,959001.2161215344,2022-12-15,-0.0163736839283326,2022-12-15
241,951920.3846415082,2022-12-16,-0.0073835479673978,2022-12-16
242,949085.5808657208,2022-12-19,-0.002977984106155,2022-12-19
243,948386.1444300214,2022-12-20,-0.0007369582362229,2022-12-20
244,958210.0004480878,2022-12-21,0.0103584980398152,2022-12-21
245,954091.07419763,2022-12-22,-0.0042985632048628,2022-12-22
246,957058.8302515546,2022-12-23,0.0031105584510582,2022-12-23
247,957376.6909616988,2022-12-27,0.0003321224360475,2022-12-27
248,950030.6557882824,2022-12-28,-0.0076730875555753,2022-12-28
249,955406.7797850173,2022-12-29,0.0056588952829883,2022-12-29
250,951962.2480238476,2022-12-30,-0.0036053038706136,2022-12-30
251,947734.227197508,2023-01-03,-0.0044413744716416,2023-01-03
